Gmt time,Open,High,Low,Close,Volume
01.01.2010 00:00:00.000,1096.088,1096.340,1095.857,1095.997,7209305.7632
02.01.2010 00:00:00.000,1095.997,1095.997,1095.997,1095.997,0
03.01.2010 00:00:00.000,1096.072,1099.914,1095.404,1095.404,5186456.2035
04.01.2010 00:00:00.000,1094.345,1123.295,1092.987,1120.416,15979995.7275
05.01.2010 00:00:00.000,1120.853,1127.532,1114.864,1118.253,17551856.9946
06.01.2010 00:00:00.000,1118.097,1140.020,1116.624,1135.946,16941637.0392
07.01.2010 00:00:00.000,1135.353,1137.947,1126.661,1126.661,17171394.3481
08.01.2010 00:00:00.000,1126.946,1138.419,1119.287,1136.398,18584400.177
09.01.2010 00:00:00.000,1136.398,1136.398,1136.398,1136.398,0
10.01.2010 00:00:00.000,1136.534,1156.543,1136.445,1153.500,4562009.8114
11.01.2010 00:00:00.000,1153.164,1160.949,1149.012,1149.423,15881573.6771
12.01.2010 00:00:00.000,1148.756,1157.604,1125.446,1129.835,17235954.2847
13.01.2010 00:00:00.000,1129.740,1139.259,1119.245,1137.889,16697299.9573
14.01.2010 00:00:00.000,1138.322,1145.590,1130.439,1142.780,17126562.1185
15.01.2010 00:00:00.000,1142.871,1145.088,1126.828,1129.623,16638755.7983
16.01.2010 00:00:00.000,1129.623,1129.623,1129.623,1129.623,0
17.01.2010 00:00:00.000,1129.622,1133.001,1126.636,1132.016,5537590.0269
18.01.2010 00:00:00.000,1132.005,1136.862,1128.797,1135.384,15488321.3043
19.01.2010 00:00:00.000,1135.418,1140.016,1128.284,1137.944,17959928.5126
20.01.2010 00:00:00.000,1138.828,1141.058,1106.993,1114.882,17444232.9407
21.01.2010 00:00:00.000,1114.979,1117.198,1089.162,1094.314,17683227.5391
22.01.2010 00:00:00.000,1094.226,1098.196,1081.867,1092.347,19097452.1637
23.01.2010 00:00:00.000,1092.347,1092.347,1092.347,1092.347,0
24.01.2010 00:00:00.000,1092.226,1097.528,1089.494,1095.015,5250402.9274
25.01.2010 00:00:00.000,1094.629,1103.651,1092.371,1099.923,16418817.5201
26.01.2010 00:00:00.000,1100.443,1102.972,1085.536,1099.339,17677417.7551
