Local time,Open,High,Low,Close,Volume
09.03.2017 19:00:00.000 GMT-0500,1199.748,1206.299,1194.848,1203.892,57.8628
10.03.2017 19:00:00.000 GMT-0500,1203.892,1203.892,1203.892,1203.892,0
11.03.2017 19:00:00.000 GMT-0500,1205.831,1207.189,1205.308,1205.939,0.8397
12.03.2017 20:00:00.000 GMT-0400,1205.989,1211.129,1201.759,1202.188,62.3233
13.03.2017 20:00:00.000 GMT-0400,1202.188,1207.588,1197.298,1200.339,62.0189
14.03.2017 20:00:00.000 GMT-0400,1200.422,1221.998,1197.548,1220.401,66.3087
15.03.2017 20:00:00.000 GMT-0400,1220.401,1233.698,1220.028,1226.301,73.6497
16.03.2017 20:00:00.000 GMT-0400,1226.261,1231.579,1224.422,1228.528,55.2115
17.03.2017 20:00:00.000 GMT-0400,1228.528,1228.528,1228.528,1228.528,0
18.03.2017 20:00:00.000 GMT-0400,1229.572,1231.261,1229.261,1231.261,1.023
19.03.2017 20:00:00.000 GMT-0400,1231.289,1235.468,1230.068,1234.586,50.4859
20.03.2017 20:00:00.000 GMT-0400,1234.597,1247.548,1226.859,1245.982,70.0619
21.03.2017 20:00:00.000 GMT-0400,1245.982,1251.319,1243.949,1246.025,72.794
22.03.2017 20:00:00.000 GMT-0400,1246.025,1253.272,1242.781,1245.548,72.5871
23.03.2017 20:00:00.000 GMT-0400,1245.548,1251.838,1240.948,1242.469,56.763
24.03.2017 20:00:00.000 GMT-0400,1242.469,1242.469,1242.469,1242.469,0
25.03.2017 20:00:00.000 GMT-0400,1246.622,1254.231,1246.621,1252.878,2.428
26.03.2017 20:00:00.000 GMT-0400,1252.892,1261.012,1252.362,1252.989,51.2342
27.03.2017 20:00:00.000 GMT-0400,1252.948,1258.319,1247.671,1250.141,50.6111
28.03.2017 20:00:00.000 GMT-0400,1250.152,1254.609,1247.288,1252.582,52.3294
29.03.2017 20:00:00.000 GMT-0400,1252.558,1252.909,1242.233,1243.651,45.5136
30.03.2017 20:00:00.000 GMT-0400,1243.621,1250.542,1239.649,1248.358,47.3548
31.03.2017 20:00:00.000 GMT-0400,1248.358,1248.358,1248.358,1248.358,0
01.04.2017 20:00:00.000 GMT-0400,1247.378,1249.708,1247.378,1248.228,2.0254
02.04.2017 20:00:00.000 GMT-0400,1248.228,1255.818,1244.442,1255.512,39.0509
03.04.2017 20:00:00.000 GMT-0400,1255.591,1261.249,1254.021,1255.561,45.1461
04.04.2017 20:00:00.000 GMT-0400,1255.509,1258.809,1243.691,1258.228,55.0207
05.04.2017 20:00:00.000 GMT-0400,1258.198,1258.741,1249.751,1251.531,52.655
06.04.2017 20:00:00.000 GMT-0400,1251.478,1270.531,1250.558,1253.759,69.0925
07.04.2017 20:00:00.000 GMT-0400,1253.759,1253.759,1253.759,1253.759,0
08.04.2017 20:00:00.000 GMT-0400,1253.971,1255.829,1253.408,1255.032,1.8971
09.04.2017 20:00:00.000 GMT-0400,1255.042,1257.041,1247.108,1255.911,51.5901
10.04.2017 20:00:00.000 GMT-0400,1255.981,1276.211,1253.028,1276.078,62.0367
11.04.2017 20:00:00.000 GMT-0400,1276.122,1287.222,1271.942,1287.188,62.6967
12.04.2017 20:00:00.000 GMT-0400,1287.158,1288.562,1281.851,1286.398,60.8048
13.04.2017 20:00:00.000 GMT-0400,1286.398,1286.398,1286.398,1286.398,0
14.04.2017 20:00:00.000 GMT-0400,1286.398,1286.398,1286.398,1286.398,0
15.04.2017 20:00:00.000 GMT-0400,1290.271,1295.422,1289.721,1294.592,3.739
16.04.2017 20:00:00.000 GMT-0400,1294.591,1294.982,1281.348,1282.972,48.0085
17.04.2017 20:00:00.000 GMT-0400,1282.972,1292.288,1278.898,1289.151,65.0834
18.04.2017 20:00:00.000 GMT-0400,1289.158,1289.288,1274.071,1279.592,61.0793
19.04.2017 20:00:00.000 GMT-0400,1279.592,1283.391,1276.599,1280.922,60.798
20.04.2017 20:00:00.000 GMT-0400,1280.921,1288.211,1278.471,1284.421,58.6913
21.04.2017 20:00:00.000 GMT-0400,1284.421,1284.421,1284.421,1284.421,0
22.04.2017 20:00:00.000 GMT-0400,1275.928,1275.977,1265.431,1274.181,5.3095
23.04.2017 20:00:00.000 GMT-0400,1274.181,1278.129,1266.648,1277.451,62.0783
24.04.2017 20:00:00.000 GMT-0400,1277.451,1277.869,1261.601,1263.591,56.6322
25.04.2017 20:00:00.000 GMT-0400,1263.682,1270.598,1260.008,1267.461,61.3181
26.04.2017 20:00:00.000 GMT-0400,1267.462,1268.342,1261.259,1263.978,54.8278
27.04.2017 20:00:00.000 GMT-0400,1263.958,1268.522,1263.308,1266.769,49.0522
28.04.2017 20:00:00.000 GMT-0400,1266.769,1266.769,1266.769,1266.769,0
29.04.2017 20:00:00.000 GMT-0400,1268.252,1271.072,1268.161,1270.201,1.4027
30.04.2017 20:00:00.000 GMT-0400,1270.301,1270.369,1254.189,1256.689,37.8341
01.05.2017 20:00:00.000 GMT-0400,1256.689,1257.728,1251.999,1256.521,48.6368
02.05.2017 20:00:00.000 GMT-0400,1256.562,1256.921,1235.881,1238.201,50.1815
03.05.2017 20:00:00.000 GMT-0400,1238.202,1241.259,1225.701,1228.371,56.4008
04.05.2017 20:00:00.000 GMT-0400,1228.372,1235.561,1226.078,1226.812,54.1192
05.05.2017 20:00:00.000 GMT-0400,1226.812,1226.812,1226.812,1226.812,0
06.05.2017 20:00:00.000 GMT-0400,1221.688,1234.672,1221.059,1234.641,4.2044
07.05.2017 20:00:00.000 GMT-0400,1234.642,1236.492,1225.600,1227.762,50.092
08.05.2017 20:00:00.000 GMT-0400,1227.762,1228.591,1214.259,1223.408,53.5349
09.05.2017 20:00:00.000 GMT-0400,1223.408,1225.619,1217.542,1217.708,49.0644
10.05.2017 20:00:00.000 GMT-0400,1217.699,1227.618,1216.949,1224.941,48.7936
11.05.2017 20:00:00.000 GMT-0400,1224.942,1231.739,1224.428,1227.442,43.7872
12.05.2017 20:00:00.000 GMT-0400,1227.442,1227.442,1227.442,1227.442,0
13.05.2017 20:00:00.000 GMT-0400,1228.128,1230.492,1228.048,1229.709,1.6441
14.05.2017 20:00:00.000 GMT-0400,1229.701,1237.281,1226.942,1231.402,47.5338
15.05.2017 20:00:00.000 GMT-0400,1231.401,1244.471,1230.381,1243.349,44.7249
16.05.2017 20:00:00.000 GMT-0400,1243.398,1263.062,1241.038,1260.288,69.5862
17.05.2017 20:00:00.000 GMT-0400,1260.258,1265.002,1246.000,1248.481,80.2295
18.05.2017 20:00:00.000 GMT-0400,1248.522,1256.392,1247.321,1255.221,57.8717
19.05.2017 20:00:00.000 GMT-0400,1255.221,1255.221,1255.221,1255.221,0
20.05.2017 20:00:00.000 GMT-0400,1256.998,1257.552,1254.459,1256.952,2.4839
21.05.2017 20:00:00.000 GMT-0400,1257.042,1263.471,1251.748,1263.072,54.3167
22.05.2017 20:00:00.000 GMT-0400,1263.071,1263.728,1250.629,1250.992,60.1694
23.05.2017 20:00:00.000 GMT-0400,1251.081,1258.918,1247.952,1257.822,53.0258
